exchange,contract,first_observation,last_trade
CZCE,RM605,2025-05-20,2026-05-19
CZCE,RM607,2016-01-04,2016-07-04
CZCE,RM608,2016-01-05,2016-08-09
CZCE,RM609,2016-01-04,2016-09-13
CZCE,RM611,2016-01-04,2016-10-31
CZCE,RM701,2016-01-18,2017-01-16
CZCE,RM703,2016-03-15,2017-03-14
CZCE,RM705,2016-05-17,2017-05-12
CZCE,RM707,2016-07-15,2017-07-05
CZCE,RM708,2016-08-17,2017-07-31
CZCE,RM709,2016-09-19,2017-09-08
CZCE,RM711,2016-11-15,2017-10-31
CZCE,RM801,2017-01-17,2018-01-12
CZCE,RM803,2017-03-15,2018-03-02
CZCE,RM805,2017-05-16,2018-05-15
CZCE,RM807,2017-07-18,2018-07-02
CZCE,RM808,2017-08-30,2018-08-13
CZCE,RM809,2017-09-15,2018-09-14
CZCE,RM811,2017-11-15,2018-11-01
CZCE,RM901,2018-01-16,2019-01-15
CZCE,RM903,2018-03-15,2019-03-14
CZCE,RM905,2018-05-16,2019-05-13
CZCE,RM907,2018-07-16,2019-06-27
CZCE,RM908,2018-08-24,2019-07-30
CZCE,RM909,2018-09-17,2019-09-16
CZCE,RM911,2018-11-15,2019-11-05
CZCE,SA005,2019-12-06,2020-05-18
CZCE,SA006,2019-12-06,2020-06-03
CZCE,SA007,2019-12-06,2020-07-09
CZCE,SA008,2019-12-06,2020-08-10
CZCE,SA009,2019-12-06,2020-09-11
CZCE,SA010,2019-12-06,2020-10-20
CZCE,SA011,2019-12-06,2020-11-13
CZCE,SA012,2019-12-25,2020-12-07
CZCE,SA101,2020-02-03,2021-01-15
CZCE,SA102,2020-02-20,2021-02-19
CZCE,SA103,2020-03-24,2021-03-12
CZCE,SA104,2020-05-22,2021-04-13
CZCE,SA105,2020-05-20,2021-05-19
CZCE,SA106,2020-07-07,2021-06-15
CZCE,SA107,2020-07-21,2021-07-12
CZCE,SA108,2020-08-21,2021-08-13
CZCE,SA109,2020-09-15,2021-09-14
CZCE,SA110,2020-10-27,2021-10-21
CZCE,SA111,2020-11-20,2021-11-12
CZCE,SA112,2020-12-17,2021-12-14
CZCE,SA201,2021-01-18,2022-01-17
CZCE,SA202,2021-02-24,2022-02-18
CZCE,SA203,2021-03-16,2022-03-14
CZCE,SA204,2021-04-16,2022-04-18
CZCE,SA205,2021-05-20,2022-05-18
CZCE,SA206,2021-06-17,2022-06-15
CZCE,SA207,2021-07-15,2022-07-14
CZCE,SA208,2021-08-16,2022-08-12
CZCE,SA209,2021-09-15,2022-09-15
CZCE,SA210,2021-10-22,2022-10-21
CZCE,SA211,2021-11-18,2022-11-14
CZCE,SA212,2021-12-20,2022-12-14
CZCE,SA301,2022-01-18,2023-01-16
CZCE,SA302,2022-02-21,2023-02-14
CZCE,SA303,2022-03-18,2023-03-14
CZCE,SA304,2022-04-19,2023-04-17
CZCE,SA305,2022-05-19,2023-05-17
CZCE,SA306,2022-06-16,2023-06-14
CZCE,SA307,2022-07-15,2023-07-14
CZCE,SA308,2022-08-15,2023-08-14
CZCE,SA309,2022-09-16,2023-09-14
CZCE,SA310,2022-10-24,2023-10-20
CZCE,SA311,2022-11-15,2023-11-14
CZCE,SA312,2022-12-15,2023-12-14
CZCE,SA401,2023-01-17,2024-01-15
CZCE,SA402,2023-02-15,2024-02-22
CZCE,SA403,2023-03-15,2024-03-14
CZCE,SA404,2023-04-18,2024-04-16
CZCE,SA405,2023-05-18,2024-05-17
CZCE,SA406,2023-06-15,2024-06-17
CZCE,SA407,2023-07-17,2024-07-12
CZCE,SA408,2023-08-15,2024-08-14
CZCE,SA409,2023-09-15,2024-09-13
CZCE,SA410,2023-10-23,2024-10-21
CZCE,SA411,2023-11-15,2024-11-13
CZCE,SA412,2023-12-15,2024-12-13
CZCE,SA501,2024-01-16,2025-01-14
CZCE,SA502,2024-02-23,2025-02-18
CZCE,SA503,2024-03-15,2025-03-14
CZCE,SA504,2024-04-17,2025-04-14
CZCE,SA505,2024-05-20,2025-05-19
CZCE,SA506,2024-06-18,2025-06-16
CZCE,SA507,2024-07-15,2025-07-14
CZCE,SA508,2024-08-15,2025-08-14
CZCE,SA509,2024-09-18,2025-09-12
CZCE,SA510,2024-10-22,2025-10-22
CZCE,SA511,2024-11-15,2025-11-14
CZCE,SA512,2024-12-16,2025-12-12
CZCE,SA601,2025-01-16,2026-01-16
CZCE,SA602,2025-02-19,2026-02-12
CZCE,SA603,2025-03-17,2026-03-12
CZCE,SA604,2025-04-16,2026-04-15
CZCE,SA605,2025-05-20,2026-05-19
CZCE,SA606,2025-06-17,2026-06-11
CZCE,SF001,2019-01-16,2020-01-15
CZCE,SF002,2019-03-20,2020-01-14
CZCE,SF003,2019-05-31,2020-03-12
CZCE,SF004,2019-05-31,2020-03-24
CZCE,SF005,2019-05-20,2020-05-19
CZCE,SF006,2019-11-06,2020-06-12
CZCE,SF007,2019-09-23,2020-07-14
CZCE,SF008,2020-02-17,2020-08-13
CZCE,SF009,2019-09-17,2020-09-14
CZCE,SF010,2020-01-21,2020-10-22
CZCE,SF011,2020-04-07,2020-11-13
CZCE,SF012,2020-02-20,2020-12-14
CZCE,SF101,2020-01-16,2021-01-15
CZCE,SF102,2020-05-27,2021-02-08
CZCE,SF103,2020-09-01,2021-03-10
CZCE,SF104,2020-11-02,2021-04-15
CZCE,SF105,2020-05-25,2021-05-19
CZCE,SF106,2020-12-21,2021-06-15
CZCE,SF107,2020-09-03,2021-07-14
CZCE,SF108,2020-09-07,2021-08-13
CZCE,SF109,2020-09-29,2021-09-14
CZCE,SF110,2020-11-02,2021-10-19
CZCE,SF111,2020-11-23,2021-11-12
CZCE,SF112,2021-01-07,2021-12-14
CZCE,SF201,2021-01-18,2022-01-17
CZCE,SF202,2021-03-03,2022-02-18
CZCE,SF203,2021-04-01,2022-03-14
CZCE,SF204,2021-04-29,2022-04-18
CZCE,SF205,2021-05-20,2022-05-18
CZCE,SF206,2021-07-05,2022-06-15
CZCE,SF207,2021-07-16,2022-07-13
CZCE,SF208,2021-08-23,2022-08-12
CZCE,SF209,2021-09-15,2022-09-15
CZCE,SF210,2021-10-22,2022-10-21
CZCE,SF211,2021-11-16,2022-11-14
CZCE,SF212,2021-12-17,2022-12-12
CZCE,SF301,2022-01-19,2023-01-16
CZCE,SF302,2022-02-25,2023-02-14
CZCE,SF303,2022-03-17,2023-03-14
CZCE,SF304,2022-04-19,2023-04-17
CZCE,SF305,2022-05-19,2023-05-17
CZCE,SF306,2022-06-21,2023-06-14
CZCE,SF307,2022-07-20,2023-07-14
CZCE,SF308,2022-08-18,2023-08-14
CZCE,SF309,2022-09-20,2023-09-14
CZCE,SF310,2022-10-24,2023-10-20
CZCE,SF311,2022-11-16,2023-11-14
CZCE,SF312,2022-12-15,2023-12-14
CZCE,SF401,2023-01-18,2024-01-15
CZCE,SF402,2023-02-15,2024-02-22
CZCE,SF403,2023-03-21,2024-03-12
CZCE,SF404,2023-04-18,2024-04-15
CZCE,SF405,2023-05-19,2024-05-17
CZCE,SF406,2023-06-15,2024-06-17
CZCE,SF407,2023-07-17,2024-07-10
CZCE,SF408,2023-08-16,2024-08-13
CZCE,SF409,2023-09-15,2024-09-13
CZCE,SF410,2023-10-23,2024-10-21
CZCE,SF411,2023-11-17,2024-11-12
CZCE,SF412,2023-12-18,2024-12-06
CZCE,SF501,2024-01-17,2025-01-15
CZCE,SF502,2024-02-27,2025-02-14
CZCE,SF503,2024-03-18,2025-03-13
CZCE,SF504,2024-04-22,2025-04-15
CZCE,SF505,2024-05-20,2025-05-19
CZCE,SF506,2024-06-18,2025-06-16
CZCE,SF507,2024-07-16,2025-07-14
CZCE,SF508,2024-08-19,2025-08-14
CZCE,SF509,2024-09-20,2025-09-12
CZCE,SF510,2024-10-23,2025-10-17
CZCE,SF511,2024-11-18,2025-11-14
CZCE,SF512,2024-12-16,2025-12-10
CZCE,SF601,2016-01-04,2016-01-04
CZCE,SF601,2025-01-16,2026-01-15
CZCE,SF602,2025-02-19,2026-02-11
CZCE,SF603,2025-03-17,2026-03-13
CZCE,SF604,2025-04-16,2026-04-13
CZCE,SF605,2016-01-04,2016-04-29
CZCE,SF605,2025-05-21,2026-05-14
CZCE,SF606,2025-06-17,2026-06-09
CZCE,SF609,2016-01-15,2016-09-08
CZCE,SF610,2016-04-14,2016-08-04
CZCE,SF611,2016-07-11,2016-09-02
CZCE,SF612,2016-04-05,2016-06-20
CZCE,SF701,2016-03-03,2017-01-10
CZCE,SF702,2016-06-23,2017-01-09
CZCE,SF703,2016-07-29,2016-11-15
CZCE,SF704,2016-07-08,2016-09-26
CZCE,SF704,2017-03-31,2017-04-05
CZCE,SF705,2016-07-08,2017-05-11
CZCE,SF706,2016-07-08,2017-06-05
CZCE,SF707,2016-08-09,2016-08-24
CZCE,SF707,2017-03-22,2017-06-26
CZCE,SF708,2016-10-28,2017-06-07
CZCE,SF709,2016-09-22,2017-09-11
CZCE,SF710,2016-12-08,2017-09-29
CZCE,SF711,2017-02-03,2017-10-30
CZCE,SF712,2017-02-03,2017-02-03
CZCE,SF712,2017-11-17,2017-11-29
CZCE,SF801,2017-01-18,2018-01-15
CZCE,SF802,2017-02-21,2018-02-14
CZCE,SF803,2017-12-26,2018-03-02
CZCE,SF804,2017-07-06,2018-04-16
CZCE,SF805,2017-05-23,2018-05-15
CZCE,SF806,2017-12-14,2018-06-04
CZCE,SF807,2018-04-10,2018-07-12
CZCE,SF808,2017-12-06,2018-08-13
CZCE,SF809,2017-09-15,2018-09-14
CZCE,SF810,2017-10-23,2018-09-27
CZCE,SF811,2017-11-24,2017-11-24
CZCE,SF811,2018-07-04,2018-09-27
CZCE,SF812,2018-05-08,2018-11-30
CZCE,SF901,2018-01-16,2019-01-15
CZCE,SF902,2018-03-20,2019-01-10
CZCE,SF903,2018-03-23,2018-11-27
CZCE,SF904,2018-10-30,2019-04-15
CZCE,SF905,2018-05-16,2019-05-16
CZCE,SF906,2018-10-24,2019-06-11
CZCE,SF907,2018-08-08,2018-08-08
CZCE,SF907,2019-06-04,2019-07-02
CZCE,SF908,2018-09-17,2018-09-17
CZCE,SF908,2019-03-26,2019-08-07
CZCE,SF909,2018-09-17,2019-09-16
CZCE,SF910,2018-10-24,2019-10-10
CZCE,SF911,2018-11-27,2019-11-14
CZCE,SF912,2019-01-03,2019-11-28
CZCE,SM001,2019-01-16,2020-01-15
CZCE,SM002,2019-04-02,2019-09-04
CZCE,SM003,2019-04-23,2020-01-20
CZCE,SM004,2019-05-14,2020-03-20
CZCE,SM005,2019-05-20,2020-05-19
CZCE,SM006,2019-07-26,2020-05-28
CZCE,SM007,2020-04-01,2020-07-14
CZCE,SM008,2020-03-30,2020-08-11
CZCE,SM009,2019-09-17,2020-09-14
CZCE,SM010,2019-11-07,2020-10-12
CZCE,SM011,2019-11-22,2020-11-05
CZCE,SM012,2020-01-08,2020-12-10
CZCE,SM101,2020-01-16,2021-01-15
CZCE,SM102,2020-04-16,2021-02-18
CZCE,SM103,2020-04-01,2021-03-12
CZCE,SM104,2020-05-14,2021-04-15
CZCE,SM105,2020-05-22,2021-05-19
CZCE,SM106,2020-12-04,2021-06-15
CZCE,SM107,2020-07-21,2021-07-14
CZCE,SM108,2020-08-21,2021-08-13
CZCE,SM109,2020-09-15,2021-09-14
CZCE,SM110,2020-10-26,2021-10-21
CZCE,SM111,2020-12-07,2021-11-12
CZCE,SM112,2020-12-22,2021-12-10
CZCE,SM201,2021-01-18,2022-01-17
CZCE,SM202,2021-03-08,2022-02-18
CZCE,SM203,2021-03-16,2022-03-14
CZCE,SM204,2021-04-27,2022-04-18
CZCE,SM205,2021-05-24,2022-05-18
CZCE,SM206,2021-07-01,2022-06-14
CZCE,SM207,2021-07-15,2022-07-13
CZCE,SM208,2021-08-31,2022-08-12
CZCE,SM209,2021-09-15,2022-09-15
CZCE,SM210,2021-10-25,2022-10-20
CZCE,SM211,2021-11-22,2022-11-11
CZCE,SM212,2021-12-17,2022-12-12
CZCE,SM301,2022-01-20,2023-01-10
CZCE,SM302,2022-04-01,2023-02-13
CZCE,SM303,2022-03-24,2023-03-14
CZCE,SM304,2022-04-27,2023-04-17
CZCE,SM305,2022-05-25,2023-05-17
CZCE,SM306,2022-06-22,2023-06-14
CZCE,SM307,2022-07-21,2023-07-12
CZCE,SM308,2022-08-17,2023-08-11
CZCE,SM309,2022-09-16,2023-09-07
CZCE,SM310,2022-10-24,2023-10-20
CZCE,SM311,2022-11-16,2023-11-10
CZCE,SM312,2022-12-19,2023-12-14
CZCE,SM401,2023-01-17,2024-01-15
CZCE,SM402,2023-03-06,2024-02-22
CZCE,SM403,2023-03-15,2024-03-14
CZCE,SM404,2023-04-20,2024-04-16
CZCE,SM405,2023-05-18,2024-05-17
CZCE,SM406,2023-06-19,2024-06-17
CZCE,SM407,2023-07-17,2024-07-12
CZCE,SM408,2023-08-15,2024-08-14
CZCE,SM409,2023-09-15,2024-09-13
CZCE,SM410,2023-10-23,2024-10-21
CZCE,SM411,2023-11-15,2024-11-14
CZCE,SM412,2023-12-19,2024-12-13
CZCE,SM501,2024-01-16,2025-01-15
CZCE,SM502,2024-02-28,2025-02-18
CZCE,SM503,2024-03-15,2025-03-14
CZCE,SM504,2024-04-22,2025-04-15
CZCE,SM505,2024-05-20,2025-05-19
CZCE,SM506,2024-06-18,2025-06-16
CZCE,SM507,2024-07-15,2025-07-14
CZCE,SM508,2024-08-15,2025-08-14
CZCE,SM509,2024-09-18,2025-09-12
CZCE,SM510,2024-10-23,2025-10-17
CZCE,SM511,2024-11-19,2025-11-12
CZCE,SM512,2024-12-17,2025-12-11
CZCE,SM601,2016-01-04,2016-01-04
CZCE,SM601,2025-01-16,2026-01-16
CZCE,SM602,2025-02-19,2026-02-05
CZCE,SM603,2025-03-17,2026-03-12
CZCE,SM604,2025-04-16,2026-04-15
CZCE,SM605,2016-01-04,2016-05-11
CZCE,SM605,2025-05-20,2026-05-18
CZCE,SM606,2025-06-17,2026-06-12
CZCE,SM609,2016-01-08,2016-09-06
CZCE,SM612,2016-07-26,2016-11-09
CZCE,SM701,2016-01-28,2017-01-03
CZCE,SM702,2016-07-29,2016-07-29
CZCE,SM704,2017-01-10,2017-01-24
CZCE,SM705,2016-07-29,2017-05-15
CZCE,SM706,2017-03-28,2017-04-10
CZCE,SM707,2017-05-11,2017-05-11
CZCE,SM708,2016-09-05,2017-06-01
CZCE,SM709,2016-09-21,2017-09-14
CZCE,SM710,2017-04-05,2017-06-14
CZCE,SM711,2017-10-30,2017-10-30
CZCE,SM712,2017-03-23,2017-11-17
CZCE,SM801,2017-01-17,2018-01-15
CZCE,SM802,2017-05-11,2017-11-16
CZCE,SM803,2017-06-19,2017-08-08
CZCE,SM804,2017-07-06,2017-10-27
CZCE,SM805,2017-05-17,2018-05-14
CZCE,SM806,2017-08-08,2017-11-17
CZCE,SM807,2017-08-07,2018-06-29
CZCE,SM808,2017-09-19,2017-09-19
CZCE,SM808,2018-07-31,2018-07-31
CZCE,SM809,2017-09-15,2018-09-14
CZCE,SM810,2017-11-24,2018-08-24
CZCE,SM811,2017-11-17,2018-11-14
CZCE,SM812,2018-01-08,2018-01-11
CZCE,SM812,2018-09-18,2018-11-29
CZCE,SM901,2018-01-16,2019-01-15
CZCE,SM902,2018-08-28,2019-01-21
CZCE,SM903,2018-11-26,2019-02-22
CZCE,SM904,2018-11-07,2019-03-26
CZCE,SM905,2018-05-16,2019-05-17
CZCE,SM906,2018-11-27,2019-05-16
CZCE,SM907,2018-08-20,2018-08-23
CZCE,SM908,2019-04-19,2019-07-12
CZCE,SM909,2018-09-17,2019-09-10
CZCE,SM910,2019-03-15,2019-09-20
CZCE,SM911,2019-01-02,2019-07-04
CZCE,SM912,2019-01-03,2019-12-02
CZCE,SR001,2019-01-16,2020-01-13
CZCE,SR003,2019-03-19,2020-03-09
CZCE,SR005,2019-05-20,2020-05-11
CZCE,SR007,2019-07-15,2020-07-14
CZCE,SR009,2019-09-17,2020-09-14
CZCE,SR011,2019-11-15,2020-11-13
CZCE,SR101,2020-01-16,2021-01-15
CZCE,SR103,2020-03-16,2021-03-12
CZCE,SR105,2020-05-20,2021-05-19
CZCE,SR107,2020-07-15,2021-07-14
CZCE,SR109,2020-09-15,2021-09-14
CZCE,SR111,2020-11-16,2021-11-11
CZCE,SR201,2021-01-18,2022-01-14
CZCE,SR203,2021-03-16,2022-03-14
CZCE,SR205,2021-05-20,2022-05-18
CZCE,SR207,2021-07-15,2022-07-14
CZCE,SR209,2021-09-15,2022-09-15
CZCE,SR211,2021-11-16,2022-11-10
CZCE,SR301,2022-01-18,2023-01-16
CZCE,SR303,2022-03-17,2023-03-14
CZCE,SR305,2022-05-19,2023-05-17
CZCE,SR307,2022-07-15,2023-07-14
CZCE,SR309,2022-09-16,2023-09-14
CZCE,SR311,2022-11-17,2023-11-13
CZCE,SR401,2023-01-17,2024-01-15
CZCE,SR403,2023-03-15,2024-03-14
CZCE,SR405,2023-05-18,2024-05-17
CZCE,SR407,2023-07-17,2024-07-12
CZCE,SR409,2023-09-15,2024-09-13
CZCE,SR411,2023-11-15,2024-11-14
CZCE,SR501,2024-01-16,2025-01-14
CZCE,SR503,2024-03-15,2025-03-14
CZCE,SR505,2024-05-20,2025-05-16
CZCE,SR507,2024-07-15,2025-07-14
CZCE,SR509,2024-09-18,2025-09-12
CZCE,SR511,2024-11-15,2025-11-13
CZCE,SR601,2016-01-04,2016-01-15
CZCE,SR601,2025-01-16,2026-01-16
CZCE,SR603,2016-01-04,2016-03-14
CZCE,SR603,2025-03-17,2026-03-09
CZCE,SR605,2016-01-04,2016-05-13
CZCE,SR605,2025-05-20,2026-05-19
CZCE,SR607,2016-01-04,2016-07-13
CZCE,SR609,2016-01-04,2016-09-14
CZCE,SR611,2016-01-05,2016-11-14
CZCE,SR701,2016-01-04,2017-01-16
CZCE,SR703,2016-01-04,2017-03-13
CZCE,SR705,2016-01-04,2017-05-15
CZCE,SR707,2016-01-19,2017-07-14
CZCE,SR709,2016-03-15,2017-09-14
CZCE,SR711,2016-05-20,2017-11-13
CZCE,SR801,2016-07-19,2018-01-15
CZCE,SR803,2016-09-26,2018-03-08
CZCE,SR805,2016-11-15,2018-05-15
CZCE,SR807,2017-02-13,2018-07-13
CZCE,SR809,2017-03-15,2018-09-14
CZCE,SR811,2017-05-18,2018-11-13
CZCE,SR901,2017-07-17,2019-01-15
CZCE,SR903,2017-09-25,2019-03-11
CZCE,SR905,2017-11-15,2019-05-17
CZCE,SR907,2018-01-17,2019-07-10
CZCE,SR909,2018-03-15,2019-09-16
CZCE,SR911,2018-11-15,2019-11-13
CZCE,TA001,2019-01-16,2020-01-15
CZCE,TA002,2019-03-06,2020-02-06
CZCE,TA003,2019-03-15,2020-03-13
CZCE,TA004,2019-04-17,2020-04-15
CZCE,TA005,2019-05-20,2020-05-19
CZCE,TA006,2019-06-20,2020-06-03
CZCE,TA007,2019-07-15,2020-07-14
CZCE,TA008,2019-08-15,2020-08-14
CZCE,TA009,2019-09-17,2020-09-14
CZCE,TA010,2019-10-22,2020-10-22
CZCE,TA011,2019-11-21,2020-11-13
CZCE,TA012,2019-12-24,2020-12-14
CZCE,TA101,2020-01-16,2021-01-15
CZCE,TA102,2020-02-17,2021-02-19
CZCE,TA103,2020-03-17,2021-03-12
CZCE,TA104,2020-04-17,2021-04-14
CZCE,TA105,2020-05-20,2021-05-19
CZCE,TA106,2020-06-16,2021-06-15
CZCE,TA107,2020-07-15,2021-07-14
CZCE,TA108,2020-08-18,2021-08-13
CZCE,TA109,2020-09-15,2021-09-14
CZCE,TA110,2020-10-26,2021-10-21
CZCE,TA111,2020-11-16,2021-11-12
CZCE,TA112,2020-12-17,2021-12-14
CZCE,TA201,2021-01-18,2022-01-17
CZCE,TA202,2021-02-22,2022-02-18
CZCE,TA203,2021-03-16,2022-03-14
CZCE,TA204,2021-04-21,2022-04-18
CZCE,TA205,2021-05-20,2022-05-18
CZCE,TA206,2021-06-16,2022-06-15
CZCE,TA207,2021-07-16,2022-07-14
CZCE,TA208,2021-08-19,2022-08-12
CZCE,TA209,2021-09-15,2022-09-15
CZCE,TA210,2021-10-25,2022-10-21
CZCE,TA211,2021-11-18,2022-11-14
CZCE,TA212,2021-12-20,2022-12-14
CZCE,TA301,2022-01-18,2023-01-16
CZCE,TA302,2022-02-22,2023-02-14
CZCE,TA303,2022-03-15,2023-03-14
CZCE,TA304,2022-04-21,2023-04-17
CZCE,TA305,2022-05-19,2023-05-17
CZCE,TA306,2022-06-16,2023-06-14
CZCE,TA307,2022-07-15,2023-07-14
CZCE,TA308,2022-08-15,2023-08-14
CZCE,TA309,2022-09-16,2023-09-14
CZCE,TA310,2022-10-24,2023-10-20
CZCE,TA311,2022-11-16,2023-11-14
CZCE,TA312,2022-12-15,2023-12-14
CZCE,TA401,2023-01-17,2024-01-15
CZCE,TA402,2023-02-16,2024-02-22
CZCE,TA403,2023-03-15,2024-03-14
CZCE,TA404,2023-04-18,2024-04-16
CZCE,TA405,2023-05-18,2024-05-17
CZCE,TA406,2023-06-15,2024-06-17
CZCE,TA407,2023-07-17,2024-07-12
CZCE,TA408,2023-08-15,2024-08-12
CZCE,TA409,2023-09-15,2024-09-13
CZCE,TA410,2023-10-23,2024-10-21
CZCE,TA411,2023-11-17,2024-11-14
CZCE,TA412,2023-12-15,2024-12-13
CZCE,TA501,2024-01-16,2025-01-15
CZCE,TA502,2024-02-26,2025-02-18
CZCE,TA503,2024-03-15,2025-03-14
CZCE,TA504,2024-04-17,2025-04-15
CZCE,TA505,2024-05-20,2025-05-19
CZCE,TA506,2024-06-19,2025-06-16
CZCE,TA507,2024-07-17,2025-07-14
CZCE,TA508,2024-08-16,2025-08-14
CZCE,TA509,2024-09-18,2025-09-12
CZCE,TA510,2024-10-22,2025-10-22
CZCE,TA511,2024-11-15,2025-11-14
CZCE,TA512,2024-12-19,2025-12-12
CZCE,TA601,2016-01-04,2016-01-15
CZCE,TA601,2025-01-16,2026-01-16
CZCE,TA602,2016-01-15,2016-02-18
CZCE,TA602,2025-02-20,2026-02-12
CZCE,TA603,2016-01-04,2016-03-09
CZCE,TA603,2025-03-17,2026-03-13
CZCE,TA604,2016-01-05,2016-04-13
CZCE,TA604,2025-04-16,2026-04-15
CZCE,TA605,2016-01-04,2016-05-16
CZCE,TA605,2025-05-20,2026-05-19
CZCE,TA606,2016-01-04,2016-06-16
CZCE,TA606,2025-06-17,2026-06-12
CZCE,TA607,2016-02-18,2016-07-04
CZCE,TA608,2016-01-13,2016-08-12
CZCE,TA609,2016-01-04,2016-09-14
CZCE,TA610,2016-01-05,2016-10-20
CZCE,TA611,2016-02-19,2016-11-14
CZCE,TA612,2016-02-05,2016-12-14
CZCE,TA701,2016-01-18,2017-01-16
CZCE,TA702,2016-02-23,2017-02-16
CZCE,TA703,2016-03-28,2017-03-14
CZCE,TA704,2016-04-19,2017-04-17
CZCE,TA705,2016-05-17,2017-05-15
CZCE,TA706,2016-06-30,2017-06-14
CZCE,TA707,2016-07-19,2017-07-14
CZCE,TA708,2016-08-23,2017-08-07
CZCE,TA709,2016-09-19,2017-09-14
CZCE,TA710,2016-10-27,2017-10-16
CZCE,TA711,2016-11-28,2017-11-06
CZCE,TA712,2016-12-19,2017-11-30
CZCE,TA801,2017-01-17,2018-01-15
CZCE,TA802,2017-02-23,2018-01-29
CZCE,TA803,2017-03-16,2018-03-14
CZCE,TA804,2017-04-28,2018-04-17
CZCE,TA805,2017-05-16,2018-05-15
CZCE,TA806,2017-06-15,2018-06-07
CZCE,TA807,2017-07-21,2018-07-13
CZCE,TA808,2017-11-21,2018-08-03
CZCE,TA809,2017-09-15,2018-09-14
CZCE,TA810,2017-11-06,2018-10-16
CZCE,TA811,2017-12-06,2018-11-14
CZCE,TA812,2018-01-02,2018-12-14
CZCE,TA901,2018-01-16,2019-01-15
CZCE,TA902,2018-02-26,2019-02-13
CZCE,TA903,2018-03-23,2019-03-14
CZCE,TA904,2018-05-08,2019-04-12
CZCE,TA905,2018-05-16,2019-05-17
CZCE,TA906,2018-06-25,2019-06-04
CZCE,TA907,2018-07-31,2019-07-12
CZCE,TA908,2018-08-15,2019-08-14
CZCE,TA909,2018-09-17,2019-09-16
CZCE,TA910,2018-10-22,2019-10-17
CZCE,TA911,2018-11-16,2019-11-14
CZCE,TA912,2018-12-17,2019-12-10
CZCE,UR001,2019-08-09,2020-01-13
CZCE,UR002,2019-08-09,2020-02-06
CZCE,UR003,2019-08-09,2020-03-03
CZCE,UR004,2019-08-09,2020-04-10
CZCE,UR005,2019-08-09,2020-05-19
CZCE,UR006,2019-08-09,2020-05-29
CZCE,UR007,2019-08-09,2020-07-06
CZCE,UR008,2019-09-16,2020-07-27
CZCE,UR009,2019-09-20,2020-09-14
CZCE,UR010,2019-10-28,2020-10-15
CZCE,UR011,2020-01-09,2020-11-13
CZCE,UR012,2019-12-19,2020-12-09
CZCE,UR101,2020-01-16,2021-01-15
CZCE,UR102,2020-02-25,2021-02-01
CZCE,UR103,2020-03-17,2021-03-10
CZCE,UR104,2020-04-21,2021-03-31
CZCE,UR105,2020-05-20,2021-05-19
CZCE,UR106,2020-08-17,2021-06-04
CZCE,UR107,2020-07-17,2021-07-14
CZCE,UR108,2020-10-28,2021-08-12
CZCE,UR109,2020-09-15,2021-09-13
CZCE,UR110,2020-11-06,2021-09-30
CZCE,UR111,2020-11-19,2021-11-03
CZCE,UR112,2020-12-21,2021-12-09
CZCE,UR201,2021-01-18,2022-01-17
CZCE,UR202,2021-02-22,2022-02-07
CZCE,UR203,2021-03-23,2022-03-14
CZCE,UR204,2021-04-29,2022-04-07
CZCE,UR205,2021-05-20,2022-05-18
CZCE,UR206,2021-07-05,2022-06-09
CZCE,UR207,2021-07-15,2022-07-11
CZCE,UR208,2021-08-27,2022-08-04
CZCE,UR209,2021-09-15,2022-09-15
CZCE,UR210,2021-10-28,2022-10-21
CZCE,UR211,2021-11-23,2022-11-14
CZCE,UR212,2021-12-15,2022-12-13
CZCE,UR301,2022-01-18,2023-01-16
CZCE,UR302,2022-02-22,2023-02-13
CZCE,UR303,2022-03-24,2023-03-14
CZCE,UR304,2022-04-19,2023-04-14
CZCE,UR305,2022-05-19,2023-05-17
CZCE,UR306,2022-06-16,2023-06-14
CZCE,UR307,2022-07-21,2023-07-14
CZCE,UR308,2022-08-15,2023-08-11
CZCE,UR309,2022-09-16,2023-09-14
CZCE,UR310,2022-10-24,2023-10-20
CZCE,UR311,2022-11-16,2023-11-14
CZCE,UR312,2022-12-16,2023-12-14
CZCE,UR401,2023-01-17,2024-01-15
CZCE,UR402,2023-02-15,2024-02-22
CZCE,UR403,2023-03-15,2024-03-14
CZCE,UR404,2023-04-19,2024-04-16
CZCE,UR405,2023-05-18,2024-05-17
CZCE,UR406,2023-06-15,2024-06-17
CZCE,UR407,2023-07-17,2024-07-12
CZCE,UR408,2023-08-15,2024-08-13
CZCE,UR409,2023-09-15,2024-09-13
CZCE,UR410,2023-10-23,2024-10-21
CZCE,UR411,2023-11-15,2024-11-14
CZCE,UR412,2023-12-15,2024-12-13
CZCE,UR501,2024-01-16,2025-01-15
CZCE,UR502,2024-02-23,2025-02-18
CZCE,UR503,2024-03-15,2025-03-14
CZCE,UR504,2024-04-17,2025-04-15
CZCE,UR505,2024-05-20,2025-05-19
CZCE,UR506,2024-06-18,2025-06-16
CZCE,UR507,2024-07-15,2025-07-14
CZCE,UR508,2024-08-15,2025-08-14
CZCE,UR509,2024-09-18,2025-09-12
CZCE,UR510,2024-10-22,2025-10-22
CZCE,UR511,2024-11-15,2025-11-14
CZCE,UR512,2024-12-16,2025-12-12
CZCE,UR601,2025-01-16,2026-01-16
